variant,metric,mean,sd,ci95_lo,ci95_hi
M0 Raw Quantile,coverage,0.5176666666666667,0.1961030058129882,0.4444406008593876,0.5908927324739458
M0 Raw Quantile,mean_width,1.1247546981650713,0.4696247391757163,0.9493939385834368,1.3001154577467058
M0 Raw Quantile,low_coverage,0.7381666666666666,0.3086137060148656,0.6229284149530557,0.8534049183802775
M0 Raw Quantile,high_coverage,0.28176666666666667,0.11304460008861725,0.23955511926621176,0.3239782140671216
M0 Raw Quantile,width_ratio,1.3004852147486423,2.235325694450082,0.4658008827879204,2.1351695467093643
M0 Raw Quantile,coverage_imbalance,0.47286666666666666,0.21594152039356643,0.3922327777708346,0.5535005555624988
M0 Raw Quantile,coverage_error,0.38233333333333336,0.19610300581298823,0.3091072675260542,0.4555593991406125
M0 Raw Quantile,width_ratio_error_vs_oracle,4.239067688390368,0.7521278145675278,3.958218546804395,4.519916829976341
M0 Raw Quantile,winkler,8.016201140229336,1.8313935864910513,7.332347536214152,8.700054744244522
M0 Raw Quantile,ramp_coverage_diag,0.5561666666666666,0.202065554971022,0.4807141484130558,0.6316191849202774
M0 Raw Quantile,ramp_mean_width_diag,1.1222889955444262,0.47330398518222655,0.945554382925318,1.2990236081635342
M1 Standard CQR,coverage,0.9002222222222223,0.009090417814427904,0.8968278044246197,0.9036166400198248
M1 Standard CQR,mean_width,3.4833767070206605,0.307881643706079,3.3684118118656396,3.5983416021756813
M1 Standard CQR,low_coverage,0.9999666666666668,0.0001825741858350555,0.9998984923452624,1.0000348409880713
M1 Standard CQR,high_coverage,0.7742666666666665,0.023394566615486532,0.7655309919256477,0.7830023414076854
M1 Standard CQR,width_ratio,0.9768570765457546,0.07761688280431066,0.9478744561905907,1.0058396969009185
M1 Standard CQR,coverage_imbalance,0.22569999999999998,0.023464059089712448,0.21693837634264668,0.2344616236573533
M1 Standard CQR,coverage_error,0.007305555555555543,0.0052416844075012315,0.005348278430845338,0.009262832680265747
M1 Standard CQR,width_ratio_error_vs_oracle,4.0231429234542455,0.07761688280431066,3.9941603030990818,4.052125543809409
M1 Standard CQR,winkler,4.65785420348311,0.3398513512025188,4.530951623358557,4.784756783607663
M1 Standard CQR,ramp_coverage_diag,0.9657499999999999,0.01922137369951877,0.9585726211036788,0.972927378896321
M1 Standard CQR,ramp_mean_width_diag,3.480911004400015,0.3129586690548944,3.36405031682327,3.5977716919767597
C0-M2 Scaled Additive,coverage,0.8999583333333333,0.007658252191482878,0.8970986949681924,0.9028179716984742
C0-M2 Scaled Additive,mean_width,3.464228225416011,0.39194226006359806,3.317874580253424,3.610581870578598
C0-M2 Scaled Additive,low_coverage,0.9841666666666667,0.0286116486204764,0.9734829014890144,0.9948504318443191
C0-M2 Scaled Additive,high_coverage,0.8253666666666667,0.05038231992395288,0.8065535992229528,0.8441797341103806
C0-M2 Scaled Additive,width_ratio,1.2205042540802669,0.11055325657307441,1.179222989637288,1.2617855185232456
C0-M2 Scaled Additive,coverage_imbalance,0.16393333333333332,0.06495989921287691,0.1396769083240574,0.18818975834260923
C0-M2 Scaled Additive,coverage_error,0.006152777777777767,0.004414583293780587,0.004504345284650309,0.007801210270905224
C0-M2 Scaled Additive,width_ratio_error_vs_oracle,3.7794957459197334,0.11055325657307441,3.7382144814767546,3.820777010362712
C0-M2 Scaled Additive,winkler,4.445541960465887,0.3067905778251947,4.330984476006396,4.5600994449253776
C0-M2 Scaled Additive,ramp_coverage_diag,0.8759166666666667,0.06006994247130378,0.8534861815131758,0.8983471518201576
C0-M2 Scaled Additive,ramp_mean_width_diag,3.108067213137737,0.3055183110940729,2.99398480088324,3.222149625392234
C1-M2 Scaled Additive (block),coverage,0.9994444444444445,0.0008357245386309989,0.9991323797730803,0.9997565091158086
C1-M2 Scaled Additive (block),mean_width,12.640958895512833,2.410185434004283,11.74098086373065,13.540936927295016
C1-M2 Scaled Additive (block),low_coverage,1.0,0.0,1.0,1.0
C1-M2 Scaled Additive (block),high_coverage,0.9995666666666667,0.0007738543627276677,0.9992777046986672,0.9998556286346663
C1-M2 Scaled Additive (block),width_ratio,1.3453059382146932,0.044187384045425826,1.3288060978448444,1.361805778584542
C1-M2 Scaled Additive (block),coverage_imbalance,0.0004333333333333337,0.0007738543627276676,0.000144371365333794,0.0007222953013328733
C1-M2 Scaled Additive (block),coverage_error,0.09944444444444445,0.0008357245386309989,0.0991323797730803,0.09975650911580859
C1-M2 Scaled Additive (block),width_ratio_error_vs_oracle,3.6546940617853068,0.044187384045425805,3.638194221415458,3.6711939021551556
C1-M2 Scaled Additive (block),winkler,12.64496792763954,2.4076472166928253,11.74593768177788,13.5439981735012
C1-M2 Scaled Additive (block),ramp_coverage_diag,0.99775,0.0035568050366818656,0.996421867172051,0.9990781328279491
C1-M2 Scaled Additive (block),ramp_mean_width_diag,10.894372043839635,2.0112470151815067,10.143360065834448,11.645384021844821
C0-M3 Replacement,coverage,0.8989305555555556,0.007056391743070455,0.8962956555753239,0.9015654555357873
C0-M3 Replacement,mean_width,4.18963069870614,0.5489178419355264,3.984661407951402,4.394599989460878
C0-M3 Replacement,low_coverage,0.9395000000000001,0.03243428369211641,0.9273888394280106,0.9516111605719896
C0-M3 Replacement,high_coverage,0.9019999999999999,0.03731783339979925,0.8880652919979984,0.9159347080020014
C0-M3 Replacement,width_ratio,1.4014096162251908,0.02598187970559568,1.3917078228986106,1.411111409551771
C0-M3 Replacement,coverage_imbalance,0.06349999999999997,0.044132832410255805,0.04702052954549369,0.07997947045450626
C0-M3 Replacement,coverage_error,0.005374999999999996,0.0045922718482216745,0.003660217510212561,0.007089782489787431
C0-M3 Replacement,width_ratio_error_vs_oracle,3.5985903837748086,0.025981879705595737,3.5888885904482284,3.6082921771013887
C0-M3 Replacement,winkler,4.96011761667804,0.47275849826029487,4.783586692223102,5.136648541132978
C0-M3 Replacement,ramp_coverage_diag,0.7898333333333334,0.029213345242027407,0.7789248909447273,0.8007417757219395
C0-M3 Replacement,ramp_mean_width_diag,3.556785083370781,0.4766530774828662,3.378799899134045,3.734770267607517
C1-M3 Replacement (block),coverage,0.9993611111111113,0.0008168875297559377,0.9990560802944592,0.9996661419277633
C1-M3 Replacement (block),mean_width,15.23796725868346,2.4683269774087937,14.316278817793444,16.159655699573474
C1-M3 Replacement (block),low_coverage,1.0,0.0,1.0,1.0
C1-M3 Replacement (block),high_coverage,0.9997000000000001,0.0005349830806219244,0.9995002340346342,0.9998997659653661
C1-M3 Replacement (block),width_ratio,1.4014096162251912,0.025981879705595654,1.391707822898611,1.4111114095517714
C1-M3 Replacement (block),coverage_imbalance,0.00030000000000000024,0.0005349830806219247,0.00010023403463402025,0.0004997659653659802
C1-M3 Replacement (block),coverage_error,0.09936111111111111,0.0008168875297559377,0.09905608029445907,0.09966614192776314
C1-M3 Replacement (block),width_ratio_error_vs_oracle,3.5985903837748086,0.025981879705595658,3.5888885904482284,3.6082921771013887
C1-M3 Replacement (block),winkler,15.241646232093048,2.465374399492814,14.321060301916116,16.16223216226998
C1-M3 Replacement (block),ramp_coverage_diag,0.9969166666666668,0.004187591138140148,0.9953529944374514,0.9984803388958822
C1-M3 Replacement (block),ramp_mean_width_diag,12.930890063824872,2.0918763516148204,12.149770596792754,13.71200953085699
Oracle Additive (C0),coverage,0.901277777777778,0.010283303371231277,0.897437929192815,0.905117626362741
Oracle Additive (C0),mean_width,2.8435191012169105,0.3603704499931166,2.7089545636832026,2.9780836387506184
Oracle Additive (C0),low_coverage,0.959,0.059084976794093955,0.9369373070748753,0.9810626929251246
Oracle Additive (C0),high_coverage,0.8255666666666666,0.06958729736110598,0.7995823427916189,0.8515509905417142
Oracle Additive (C0),width_ratio,2.370260417939697,0.8318485757246405,2.0596430549106315,2.6808777809687627
Oracle Additive (C0),coverage_imbalance,0.1655666666666666,0.07808248659362532,0.13641018699927485,0.19472314633405838
Oracle Additive (C0),coverage_error,0.008222222222222216,0.0061236591828738324,0.005935610303922035,0.010508834140522397
Oracle Additive (C0),width_ratio_error_vs_oracle,2.6551038335973325,0.7438438518765468,2.377347974516847,2.932859692677818
Oracle Additive (C0),winkler,3.791795680272054,0.29066294859657954,3.683260351537887,3.9003310090062207
Oracle Additive (C0),ramp_coverage_diag,0.9462500000000003,0.022232606529677266,0.9379482082856906,0.9545517917143099
Oracle Additive (C0),ramp_mean_width_diag,2.8410533985962645,0.3528393991305847,2.7093010016708634,2.9728057955216656
Oracle Replacement (C0),coverage,0.8970277777777778,0.013328273704756914,0.89205091858403,0.9020046369715256
