contrast,metric,mean_diff,sd_diff,ci95_lo,ci95_hi,n_replications,t_crit_df29
M3 - M2 under C0,coverage,-0.0010277777777777867,0.010833185970114713,-0.005072955899660371,0.003017400344104797,30,2.045229642132703
M3 - M2 under C0,mean_width,0.7254024732901293,0.43203828603982436,0.5640767259684075,0.8867282206118511,30,2.045229642132703
M3 - M2 under C0,low_coverage,-0.04466666666666666,0.028546795621047987,-0.055326215336345234,-0.034007117996988086,30,2.045229642132703
M3 - M2 under C0,high_coverage,0.07663333333333333,0.03324982067188701,0.06421764624834439,0.08904902041832227,30,2.045229642132703
M3 - M2 under C0,width_ratio,0.18090536214492448,0.11320719706988144,0.13863310003384716,0.2231776242560018,30,2.045229642132703
M3 - M2 under C0,coverage_imbalance,-0.10043333333333333,0.06612458634683645,-0.12512465966583292,-0.07574200700083374,30,2.045229642132703
M3 - M2 under C0,winkler,0.5145756562121526,0.4143737776372509,0.3598459447307668,0.6693053676935384,30,2.045229642132703
M3 - M2 under C1,coverage,-8.333333333332786e-05,0.0005933055656682186,-0.0003048772725265765,0.00013821060585992082,30,2.045229642132703
M3 - M2 under C1,mean_width,2.5970083631706253,1.5365801217155997,2.023239916101512,3.1707768102397385,30,2.045229642132703
M3 - M2 under C1,low_coverage,0.0,0.0,0.0,0.0,30,2.045229642132703
M3 - M2 under C1,high_coverage,0.00013333333333333345,0.0005713464637233662,-8.00109424360106e-05,0.00034667760910267746,30,2.045229642132703
M3 - M2 under C1,width_ratio,0.05610367801049799,0.04040251588361065,0.04101713063909117,0.07119022538190481,30,2.045229642132703
M3 - M2 under C1,coverage_imbalance,-0.00013333333333333345,0.0005713464637233662,-0.00034667760910267746,8.00109424360106e-05,30,2.045229642132703
M3 - M2 under C1,winkler,2.5966783044535067,1.5352999271405934,2.0233878898949453,3.169968719012068,30,2.045229642132703
C1 - C0 for M2,coverage,0.09948611111111111,0.00775406466556755,0.09659069578016904,0.10238152644205317,30,2.045229642132703
C1 - C0 for M2,mean_width,9.176730670096823,2.315924025883176,8.31195042656652,10.041510913627127,30,2.045229642132703
C1 - C0 for M2,low_coverage,0.015833333333333335,0.028611648620476403,0.005149568155681022,0.026517098510985646,30,2.045229642132703
C1 - C0 for M2,high_coverage,0.17419999999999997,0.05043835431699666,0.155366008970054,0.19303399102994592,30,2.045229642132703
C1 - C0 for M2,width_ratio,0.12480168413442658,0.0751135654810272,0.09675381783002965,0.1528495504388235,30,2.045229642132703
C1 - C0 for M2,coverage_imbalance,-0.16349999999999998,0.0649773169970716,-0.1877629289167829,-0.13923707108321706,30,2.045229642132703
C1 - C0 for M2,winkler,8.199425967173656,2.3641635731297552,7.316632780667049,9.082219153680263,30,2.045229642132703
C1 - C0 for M3,coverage,0.10043055555555558,0.006985448865269679,0.09782214608125397,0.10303896502985718,30,2.045229642132703
C1 - C0 for M3,mean_width,11.048336559977322,2.3574441402699677,10.168052450936093,11.928620669018551,30,2.045229642132703
C1 - C0 for M3,low_coverage,0.0605,0.03243428369211641,0.048388839428010574,0.07261116057198942,30,2.045229642132703
C1 - C0 for M3,high_coverage,0.09769999999999998,0.03735583783948173,0.08375110090699706,0.1116488990930029,30,2.045229642132703
C1 - C0 for M3,width_ratio,1.0362081563168128e-16,3.2848388704390316e-16,-1.9037083616666673e-17,2.2627871488002923e-16,30,2.045229642132703
C1 - C0 for M3,coverage_imbalance,-0.06319999999999998,0.04408878190260163,-0.07966302172462088,-0.04673697827537908,30,2.045229642132703
C1 - C0 for M3,winkler,10.28152861541501,2.370975587502832,9.39619178093781,11.166865449892208,30,2.045229642132703
