replication,seed,variant,geometry,calibration,coverage,mean_width,low_coverage,high_coverage,width_ratio,coverage_imbalance,coverage_error,width_ratio_error_vs_oracle,winkler,ramp_coverage_diag,ramp_mean_width_diag,low_mean_width,high_mean_width,q,q_A,q_R,q_OA,q_OR,q_A_block,q_R_block,quantile_crossing_frac_diag,spearman_s_sigma_test_diag,spearman_s_sigma_d2_diag,d2_raw_coverage_diag,final_train_pinball,d1_val_pinball,elapsed_s
0,1000,M0 Raw Quantile,M0,none,0.6641666666666667,1.3703448982878277,0.986,0.32,0.9603516326256586,0.6659999999999999,0.23583333333333334,4.039648367374341,6.739973414064966,0.72,1.2834726861864327,1.4157861453145741,1.3596525361016392,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,5.782514128754215,7.955085761257716,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,9.470370600000024
0,1000,M1 Standard CQR,M1,C0,0.8845833333333334,3.2648176039445627,1.0,0.733,0.983042531795825,0.267,0.015416666666666634,4.016957468204175,4.536967873751388,0.975,3.1779453918431684,3.3102588509713105,3.2541252417583757,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,5.782514128754215,7.955085761257716,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,9.470958699996118
0,1000,C0-M2 Scaled Additive,M2,C0,0.88625,3.1306990997825466,1.0,0.761,1.1758092640320463,0.239,0.01375000000000004,3.824190735967954,4.191845210308328,0.915,2.7591615464578307,2.946036367643929,3.4639768532510513,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,5.782514128754215,7.955085761257716,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,9.471563800005242
0,1000,C1-M2 Scaled Additive (block),M2,C1,0.9995833333333334,10.455510580747207,1.0,1.0,1.312094317320623,0.0,0.09958333333333336,3.687905682679377,10.456142057121356,0.9975,8.899484157026505,9.313388112962786,12.220043618019911,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,5.782514128754215,7.955085761257716,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,9.472115300013684
0,1000,C0-M3 Replacement,M3,C0,0.9016666666666666,3.522980579271927,0.991,0.841,1.3751504730685147,0.15000000000000002,0.0016666666666665941,3.6248495269314853,4.425828297876663,0.83,2.9532824651821374,3.0624756143481373,4.211364789831631,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,5.782514128754215,7.955085761257716,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,9.472661199979484
0,1000,C1-M3 Replacement (block),M3,C1,0.9995833333333334,12.498589808853678,1.0,1.0,1.375150473068515,0.0,0.09958333333333336,3.6248495269314853,12.500345017467623,0.9975,10.47745376150217,10.864841756029476,14.940792280618487,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,5.782514128754215,7.955085761257716,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,9.473204799985979
0,1000,Oracle Additive (C0),OA,C0,0.8804166666666666,2.516420160984309,0.999,0.737,1.8187548915750003,0.262,0.019583333333333397,3.1812451084249997,3.7868858823342135,0.9425,2.4295479488829144,1.7978112328800688,3.269777973929107,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,5.782514128754215,7.955085761257716,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,9.473776099970564
0,1000,Oracle Replacement (C0),OR,C0,0.8808333333333334,2.483451998985761,0.874,0.856,4.999999999999999,0.018000000000000016,0.019166666666666665,8.881784197001252e-16,3.1362484097877408,0.96,2.4834519989857604,0.8278173329952538,4.1390866649762685,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,5.782514128754215,7.955085761257716,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,9.474310000019614
1,1001,M0 Raw Quantile,M0,none,0.6729166666666667,1.4113643238445124,0.966,0.385,0.9428731578056561,0.581,0.2270833333333333,4.057126842194344,6.374913859009462,0.66,1.4123495545983316,1.45266022336483,1.369674332022667,0.9661843961910976,1.1910231587082016,2.7067351685100354,1.052751404071957,2.7253730565206373,6.742520122120693,10.114899486577729,0.0,0.3019602634082137,0.262766321157124,0.675,0.1943117082118988,0.18898718059062958,9.281248999992386
1,1001,M1 Standard CQR,M1,C0,0.89875,3.3437331162267077,1.0,0.776,0.9754844372216259,0.22399999999999998,0.0012499999999999734,4.024515562778374,4.573723384371775,0.9525,3.344718346980526,3.385029015747025,3.302043124404861,0.9661843961910976,1.1910231587082016,2.7067351685100354,1.052751404071957,2.7253730565206373,6.742520122120693,10.114899486577729,0.0,0.3019602634082137,0.262766321157124,0.675,0.1943117082118988,0.18898718059062958,9.282019200036302
1,1001,C0-M2 Scaled Additive,M2,C0,0.90375,3.2604872946518784,0.999,0.823,1.1768723986544014,0.17600000000000005,0.003750000000000031,3.8231276013455986,4.249169956131205,0.8675,2.9914191105298893,3.0450116722734486,3.5835901906791032,0.9661843961910976,1.1910231587082016,2.7067351685100354,1.052751404071957,2.7253730565206373,6.742520122120693,10.114899486577729,0.0,0.3019602634082137,0.262766321157124,0.675,0.1943117082118988,0.18898718059062958,9.282636100018863
1,1001,C1-M2 Scaled Additive (block),M2,C1,0.9995833333333334,11.879463745577784,1.0,0.999,1.3282424991433037,0.0010000000000000009,0.09958333333333336,3.671757500856696,11.880875740286326,1.0,10.351645299816655,10.467146303886809,13.90290856557321,0.9661843961910976,1.1910231587082016,2.7067351685100354,1.052751404071957,2.7253730565206373,6.742520122120693,10.114899486577729,0.0,0.3019602634082137,0.262766321157124,0.675,0.1943117082118988,0.18898718059062958,9.283245600003283
