replication,seed,method,coverage,mean_width,median_width,low_coverage,high_coverage,low_mean_width,high_mean_width,width_ratio,coverage_error,coverage_imbalance,width_ratio_error_vs_oracle,winkler,ramp_coverage_diag,ramp_mean_width_diag,q,q_A,q_R,q_OA,q_OR,quantile_crossing_frac_diag,spearman_s_sigma_test_diag,spearman_s_sigma_d2_diag,d2_raw_coverage_diag,final_train_pinball,d1_val_pinball,elapsed_s
0,1000,M0 Raw Quantile,0.6641666666666667,1.3703448982878277,1.3904125653207302,0.986,0.32,1.4157861453145741,1.3596525361016392,0.9603516326256586,0.23583333333333334,0.6659999999999999,4.039648367374341,6.739973414064966,0.72,1.2834726861864327,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,10.787932899984298
0,1000,M1 Standard CQR,0.8845833333333334,3.2648176039445627,3.2848852709774654,1.0,0.733,3.3102588509713105,3.2541252417583757,0.983042531795825,0.015416666666666634,0.267,4.016957468204175,4.536967873751388,0.975,3.1779453918431684,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,10.788872200006153
0,1000,M2 Scaled Additive CQR,0.88625,3.1306990997825466,3.357542163762121,1.0,0.761,2.946036367643929,3.4639768532510513,1.1758092640320463,0.01375000000000004,0.239,3.824190735967954,4.191845210308328,0.915,2.7591615464578307,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,10.789778799982741
0,1000,M3 Replacement CQR,0.9016666666666666,3.522980579271927,4.039166082377851,0.991,0.841,3.0624756143481373,4.211364789831631,1.3751504730685147,0.0016666666666665941,0.15000000000000002,3.6248495269314853,4.425828297876663,0.83,2.9532824651821374,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,10.79068589999224
0,1000,Oracle Additive CQR,0.8804166666666666,2.516420160984309,2.4021876622630356,0.999,0.737,1.7978112328800688,3.269777973929107,1.8187548915750003,0.019583333333333397,0.262,3.1812451084249997,3.7868858823342135,0.9425,2.4295479488829144,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,10.791588799998863
0,1000,Oracle Replacement CQR,0.8808333333333334,2.483451998985761,2.4834519989857604,0.874,0.856,0.8278173329952538,4.1390866649762685,4.999999999999999,0.019166666666666665,0.018000000000000016,8.881784197001252e-16,3.1362484097877408,0.96,2.4834519989857604,0.9472363528283676,1.1204278928460334,2.2423019774199595,0.9550627189137344,2.069543332488134,0.0,0.2926532348744199,0.3290758181193705,0.6833333333333333,0.19480176270008087,0.1943902224302292,10.792406599997776
1,1001,M0 Raw Quantile,0.6729166666666667,1.4113643238445124,1.4481027871370316,0.966,0.385,1.45266022336483,1.369674332022667,0.9428731578056561,0.2270833333333333,0.581,4.057126842194344,6.374913859009462,0.66,1.4123495545983316,0.9661843961910976,1.1910231587082016,2.7067351685100354,1.052751404071957,2.7253730565206373,0.0,0.3019602634082137,0.262766321157124,0.675,0.1943117082118988,0.18898718059062958,11.917612199991709
1,1001,M1 Standard CQR,0.89875,3.3437331162267077,3.3804715795192273,1.0,0.776,3.385029015747025,3.302043124404861,0.9754844372216259,0.0012499999999999734,0.22399999999999998,4.024515562778374,4.573723384371775,0.9525,3.344718346980526,0.9661843961910976,1.1910231587082016,2.7067351685100354,1.052751404071957,2.7253730565206373,0.0,0.3019602634082137,0.262766321157124,0.675,0.1943117082118988,0.18898718059062958,11.918569400004344
1,1001,M2 Scaled Additive CQR,0.90375,3.2604872946518784,3.4799056663052657,0.999,0.823,3.0450116722734486,3.5835901906791032,1.1768723986544014,0.003750000000000031,0.17600000000000005,3.8231276013455986,4.249169956131205,0.8675,2.9914191105298893,0.9661843961910976,1.1910231587082016,2.7067351685100354,1.052751404071957,2.7253730565206373,0.0,0.3019602634082137,0.262766321157124,0.675,0.1943117082118988,0.18898718059062958,11.919558299996424
1,1001,M3 Replacement CQR,0.8916666666666667,4.202341608044491,4.771538052465518,0.916,0.923,3.618799211313093,5.031374806554552,1.3903437335858435,0.008333333333333304,0.007000000000000006,3.6096562664141567,4.979141113573359,0.7525,3.5886146035978324,0.9661843961910976,1.1910231587082016,2.7067351685100354,1.052751404071957,2.7253730565206373,0.0,0.3019602634082137,0.262766321157124,0.675,0.1943117082118988,0.18898718059062958,11.920508900017012
