comparison,metric,mean_diff,sd_diff,ci95_lo,ci95_hi,n_replications,t_crit_df29
replacement_minus_additive (M3 - M2),coverage,-0.0010277777777777867,0.010833185970114713,-0.005072955899660371,0.003017400344104797,30,2.045229642132703
replacement_minus_additive (M3 - M2),mean_width,0.7254024732901293,0.43203828603982436,0.5640767259684075,0.8867282206118511,30,2.045229642132703
replacement_minus_additive (M3 - M2),width_ratio,0.18090536214492448,0.11320719706988144,0.13863310003384716,0.2231776242560018,30,2.045229642132703
replacement_minus_additive (M3 - M2),coverage_imbalance,-0.10043333333333333,0.06612458634683645,-0.12512465966583292,-0.07574200700083374,30,2.045229642132703
replacement_minus_additive (M3 - M2),winkler,0.5145756562121526,0.4143737776372509,0.3598459447307668,0.6693053676935384,30,2.045229642132703
